2024-12-12 15:47:04,389 - INFO - IA inicializada.
2024-12-12 15:49:15,824 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:15,824 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:16,370 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:16,371 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:16,915 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:16,915 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:17,461 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:17,461 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:18,006 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:18,006 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:18,551 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:18,551 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:19,097 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:19,097 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:19,642 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:19,642 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:20,162 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:20,162 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:20,697 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:20,697 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:21,243 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:21,243 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:21,788 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:21,788 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:22,334 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:22,334 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:22,879 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:22,879 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:23,424 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:23,424 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:23,969 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:23,969 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:24,514 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:24,514 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:25,061 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:25,061 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:25,607 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:25,607 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:26,151 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:26,151 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:26,697 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:26,697 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:27,241 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:27,241 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:27,786 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:27,786 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:28,332 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:28,332 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:28,845 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:28,845 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:29,390 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:29,390 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:29,935 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:29,935 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:30,480 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:30,480 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:31,025 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:31,025 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:31,571 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:31,571 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:32,117 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:32,117 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:32,661 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:32,661 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:33,207 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:33,208 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:33,753 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:33,754 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:34,297 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:34,297 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:34,843 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:34,843 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:35,388 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:35,388 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:35,934 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:35,934 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:36,479 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:36,479 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:36,992 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:36,992 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:37,537 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:37,537 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:38,083 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:38,083 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:38,628 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:38,628 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:39,174 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:39,174 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:39,719 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:39,719 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:40,263 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:40,263 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:40,809 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:40,809 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:41,349 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:41,349 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:41,895 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:41,895 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:42,440 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:42,440 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:42,986 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:42,986 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:43,532 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:43,532 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:44,075 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:44,075 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:44,620 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:44,620 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:45,133 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:45,133 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:45,677 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:45,677 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:46,222 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:46,222 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:46,738 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:46,738 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:47,284 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:47,284 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:47,829 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:47,830 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:48,364 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:48,364 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:48,911 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:48,911 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:49,456 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:49,456 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:50,001 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:50,001 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:49:50,548 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:49:50,548 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:50:13,509 - INFO - IA inicializada.
2024-12-12 15:50:17,285 - INFO - IA inicializada.
2024-12-12 15:50:20,200 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:20,201 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:20,751 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:20,751 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:21,299 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
